
|Robin Hood, Koenig der Vagabunden|England um 1190: Waehrend Koenig Richard Loewenherz im Heiligen Land weilt, reisst sein Bruder John die Macht an sich. Robin Hood bietet dem Tyrannen die Stirn und erobert Lady Marian.|2013|/mnt/Aufnahmen/2013/20131225 0535 - RTL Austria - Robin Hood, KA?nig der Vagabunden.eit
|Drei Haselnuesse fuer Aschenbroedel|Der Koenig findet es an der Zeit, dass sein Sohn heiratet. Viele junge Damen von nah und fern werden zu einem Ball eingeladen. Zu den geladenen Gaesten gehoeren auch Aschenbroedels Stiefmutter und deren Tochter Dora. Sie hofft, den Prinzen fuer sich zu gewinnen, Aschenbroedel soll zu Hause bleiben und Erbsen aus der Asche lesen. - Der Ball auf des Koenigs Schloss ist in vollem Gange: Der Prinz langweilt sich bis zu dem Augenblick, als ploetzlich eine junge Dame mit einer kostbaren Robe bekleidet den Saal betritt. Alle Augen sind auf sie gerichtet. Der Prinz fordert die Unbekannte zum Tanz auf. Aschenbroedel gibt sich nicht zu erkennen ...|2013|/mnt/Aufnahmen/2013/20131225 1020 - NDR FS MV HD - Drei HaselnA 1/4 sse fA 1/4 r AschenbrA?del.eit
|Tiroler Bergweihnacht-y geru M|Mit Zabine Kapfinger?In das Alpbachtal fuehrt es Zabine zu ihrer mittlerweile traditionell gewordenen "Tiroler Bergweihnacht", dieses Mal am Christtag. Zabine besucht die Bergbaeuerin und Kraeuterexpertin Gertrude Messner, ist beim Perchtenlauf in Bre itenbach dabei und trifft im mittelalterlichen Glasstaedtchen Rattenberg das Ehepaar Heini und Gottfriede Unterrader. Heini hat die ehemalige Stadtturmruine gekauft und zu einem Raritaetenmuseum umgewandelt. Zabine besucht das Museum "Tiroler Bauernh oefe" in Kramsach - es zeigt typische Tiroler Bauernhausformen, auch ein schoener Alpbacher Hof hat hier ein neues Zuhause gefunden. In Alpbach, bekannt fuer das "Europaeische Forum Alpbach", wohnt Familie Larch und hier ist Zabine zum gemeinsamen Musi zieren eingeladen. Kunstschmied und Steinmetz Hans Guggenberger fuehrt Zabine ueber den "Friedhof ohne Toten" in Kramsach. Hans hat Grabkreuze mit lustigen aber auch derben Spruechen zusammengetragen und mancher Besucher kann sich hier das Lachen si cher nicht verkneifen. ????|2013|/mnt/Aufnahmen/2013/20131225 1750 - ORF2 HD - Tiroler Bergweihnacht.eit
|Mary Poppins-y geru (|(Mary Poppins - Spielfilm, USA 1964)?London, um 1910. Jane und Michael, die Kinder der Familie Banks, sind wieder einmal verschwunden. Vom Kindermaedchen fehlt jede Spur. Wahrhaft ein Glueck, dass der aufkommende Ostwind Mary Poppins gerade jetzt her anweht. Dank magischer Kraefte verwandelt die gute Fee das Alltagsleben der Banks in ein froehlich wundervolles Reich der Fantasie.?Mit Julie Andrews (Mary Poppins), Dick van Dyke (Bert / Mr. Dawes sr.), Glynis Johns (Mrs. Banks), David Tomlinson (Mr . Banks), Ed Wynn (Onkel Albert) u.a.?Regie: Robert Stevenson?132.13|2013|/mnt/Aufnahmen/2013/20131226 0915 - ORF1 HD - Mary Poppins.eit
|NaturReich Wildes Skandinavien: Schweden - Im Reich der Elche 1/4||2013|/mnt/Aufnahmen/2013/20131226 1220 - ORF III - NaturReich Wildes Skandinavien_ Schweden - Im Reich der Elche 1_4.eit
|Der Smaragdwald-y geru D|Der Sohn eines nordamerikanischen Ingenieurs wird am Rande des Urwalds von einem Indianerstamm jenseits der Zivilisation gross gezogen. Sein Vater, Bill Markham, macht sich unermuedlich auf die Suche. Doch erst 10 Jahre spaeter sieht er seinen Sohn wi eder. Diese abenteuerliche Geschichte von Menschen, Mystizismen und Natur beruht auf einer wahren Begebenheit. Spielfilm, Grossbritannien, 1985, R: John Boorman D: Powers Boothe, Meg Foster, Yara Vaneau|2013|/mnt/Aufnahmen/2013/20131228 2229 - ServusTV HD Oesterreich - Der Smaragdwald.eit
|Die Piefke-Saga (1/3)-Der Skandal|Erlebnisse der Berliner Fabrikanten-Familie Sattmann in ihrem alljaehrlichen Urlaub in Tirol, wo sie sich den Traum vom freien, einfachen Leben erfuellen wollen. In diesem Jahr ist die Idylle gestoert, denn in den Medien aeussern sich OEsterreicher dazu, was sie wirklich von den "Piefkes", den Deutschen, halten. Die Sattmanns sind empoert, ebenso wie der Buergermeister und Hotelier ihres Urlaubsortes, befuerchtet er doch das Ausbleiben der deutschen Urlauber.|2014|/mnt/Aufnahmen/2014/20140104 2010 - BR Nord HD - Die Piefke-Saga (1_3).eit
|Die Piefke-Saga (2/3)-Die Animation|Im folgenden Winter ist Familie Sattmann wieder in Tirol. Die Eintracht zwischen den Piefkes und den Tirolern scheint wiederhergestellt. Opa Sattmann wird Sieger im Ski-Langlauf der Senioren-Klasse. Tochter Sattmann hat ihr Herz an Joe, den Orts-Ca sanova, verloren und der Sohn liebt Anna, die Bauerstochter, die bald ein Kind von ihm erwartet. Im darauf folgenden Sommer erringt Vater Sattmann die Goldene Wandernadel, erklettert eine schwierige Bergwand und fuehlt sich jetzt auch koerperlich al s Tiroler. Er entschliesst sich, in seinem Urlaubsort zu investieren.|2014|/mnt/Aufnahmen/2014/20140104 2155 - BR Nord HD - Die Piefke-Saga (2_3).eit
|Die Piefke-Saga (3/3)-Das Geschaeft|Karl-Friedrich Sattmann hat eine Schneekanonen-Fabrik in seinem Urlaubsort in Tirol erbaut und laesst sich als Wohltaeter feiern. Am Rande der Legalitaet erhaelt er vom Buergermeister die Erlaubnis, ein Haus zu bauen, um nun endgueltig hier heimisch zu w erden. Aber es wird ihm ein Strich durch die Rechnung gemacht. Sein Haus ist nicht lawinensicher, kostspielige Umbauten sind notwendig. Ausserdem wird nachgewiesen, dass die Abwaesser seiner Fabrik das Grundwasser verderben. Der Unmut der Ortsansaessi gen waechst, als die ihnen versprochene Jagd an Sattmann verpachtet wird.|2014|/mnt/Aufnahmen/2014/20140104 2330 - BR Nord HD - Die Piefke-Saga (3_3).eit
|Die Piratenbraut-Spielfilm USA 1995 (Cutthroat Island)|Mitte des 17. Jahrhunderts. Die Piratin Morgan Adams bekommt von ihrem sterbenden Vater einen von drei Teilen einer Schatzkarte vermacht. Mit Unterstuetzung des Gauners Shaw begibt sie sich auf die Jagd nach den beiden fehlenden Kartenteilen. Allerd ings hat auch Morgans hinterhaeltiger Onkel es auf den Goldschatz abgesehen. Um sein Ziel zu erreichen, schreckt der blutruenstige Pirat vor keiner Schandtat zurueck. So entwickelt sich auf dem Karibischen Meer eine abenteuerliche Jagd.|2014|/mnt/Aufnahmen/2014/20140106 2155 - BR Nord HD - Die Piratenbraut.eit
